defenderName,defenderId,defenderPositionRaw,defenderGroup,targets,score_1_100,sepoe_mean,sepoe_std
Tre'von Moehrig,53472,SS,S/S/FS,84,43.35,0.1804,1.5299
Jonathan Owens,46669,SS,S/S/FS,85,41.82,0.2008,1.0424
Amani Hooker,47899,SS,S/S/FS,96,41.21,0.209,1.3208
Bryan Cook,54527,FS,S/S/FS,53,41.11,0.2104,1.246
Nick Scott,48026,FS,S/S/FS,72,40.42,0.2195,1.1142
Jordan Whitehead,46186,SS,S/S/FS,83,40.02,0.225,1.8412
Julian Blackmon,52493,FS,S/S/FS,118,39.12,0.237,1.416
Quandre Diggs,42543,FS,S/S/FS,91,38.54,0.2448,1.5751
Ji'Ayir Brown,55952,SS,S/S/FS,36,37.4,0.26,1.6259
Rayshawn Jenkins,44926,SS,S/S/FS,123,36.52,0.2717,1.5519
Justin Reid,46137,SS,S/S/FS,103,36.49,0.2722,1.4504
Adrian Amos,42485,FS,S/S/FS,32,35.92,0.2798,2.1158
Dean Marlowe,42901,SS,S/S/FS,27,35.61,0.284,1.6645
Grant Delpit,52452,SS,S/S/FS,61,35.4,0.2867,1.261
Budda Baker,44848,SS,S/S/FS,56,34.98,0.2923,1.2929
Kam Curl,52624,SS,S/S/FS,121,34.71,0.296,1.3533
Tyrann Mathieu,40017,FS,S/S/FS,129,32.72,0.3225,1.4059
Marcus Epps,47974,SS,S/S/FS,93,32.31,0.328,1.475
Derwin James,46086,SS,S/S/FS,116,32.21,0.3294,1.5854
DeAndre Houston-Carson,43474,FS,S/S/FS,48,30.11,0.3575,1.5772
Tashaun Gipson,38868,FS,S/S/FS,85,29.88,0.3605,1.4619
Will Harris,47864,SS,S/S/FS,27,28.5,0.379,1.5937
Justin Evans,44862,FS,S/S/FS,34,28.05,0.385,1.3617
Kareem Jackson,35459,SS,S/S/FS,47,23.11,0.4511,1.3943
Justin Simmons,43387,FS,S/S/FS,106,21.92,0.4669,1.4363
Jordan Battle,55960,SS,S/S/FS,51,18.93,0.507,1.456
Ifeatu Melifonwu,53530,SS,S/S/FS,46,18.39,0.5141,1.5078
Marcus Maye,44851,FS,S/S/FS,41,11.62,0.6046,1.2512
Malik Hooker,44827,SS,S/S/FS,61,10.94,0.6138,1.6436
